Genre,Acoustic,Afropop,Alternative Rock,Ambient,Bedroom-Pop,Black Metal,Bluegrass ,Blues,Bossa Nova,Break-Core,Country,Death Metal,Disco,Dream-Pop,Drum and Bass,EDM,Electro Jazz,Electronica,Emo,Experimental Electronic,Folk,Funk,Garage Rock,Goth,Grunge,Hard Rock,Heavy Metal,Hip Hop/Rap,House,Hyper-Pop,Indie Pop,Indie Rock,Industrial,Jazz,Jazz Funk,Jazz Fusion,Jungle,Latin,Lo-fi,Math Rock,Midwest Emo,New Wave,Noise,Phonk,Pop,Post-Punk,Progressive,Psychedelic,Punk Rock,R&B,Reggae,Reggaeton,Shoegaze,Singer-Songwriter,Ska,Slowcore,Soul,Surf-Rock,Synth-Pop,Synthwave,Techno,Trap,Vaporwave,World Music,Worship
Country,8,0,2,0,0,0,6,6,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Death Metal,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,3,7,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disco,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,5,3,4,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Dream-Pop,0,0,2,0,8,0,0,0,0,0,0,0,0,10,0,0,0,6,4,2,0,0,0,2,0,0,0,0,1,1,8,7,0,0,0,0,0,0,6,0,3,8,0,0,4,2,0,5,0,0,0,0,6,0,0,7,0,4,8,7,0,0,3,0,0
Drum and Bass,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,4,0,0,0,4,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0
EDM,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,6,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,6,0,2,0,0,5,0,6,6,0,0,0,0,3,0,0,0,0,0,0,0,0,8,6,9,0,1,2,0
Electro Jazz,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,10,4,0,8,0,7,0,0,0,0,0,4,5,0,0,0,0,8,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,2,0,0,0,0,0
Electronica,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,5,0,10,0,5,0,0,0,0,0,0,0,0,3,7,7,4,0,0,0,0,2,0,3,0,0,8,0,0,8,0,0,4,0,0,0,0,0,0,0,2,0,0,9,5,4,0,6,0,0
Emo,0,0,4,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,10,0,0,0,6,7,9,7,0,0,0,0,0,2,6,0,0,0,0,0,0,4,8,3,0,0,0,8,6,2,8,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0
Experimental Electronic,0,0,0,7,1,0,0,0,0,6,0,0,0,3,7,7,0,5,0,10,0,0,0,0,0,0,0,0,7,9,1,0,2,0,0,4,8,0,7,0,0,6,9,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,6,6,0,8,0,0
Folk,7,0,2,0,0,0,9,3,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Funk,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,5,9,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0
Garage Rock,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,10,2,7,4,0,0,0,0,3,8,3,0,0,0,0,0,0,6,5,3,0,0,0,8,4,7,8,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0
Goth,0,0,3,0,0,2,0,0,0,0,0,0,0,4,0,0,0,3,7,0,0,0,3,10,2,3,1,0,0,0,0,0,3,0,0,0,0,0,0,3,6,7,0,0,0,6,4,3,7,0,0,0,7,0,0,9,0,0,0,4,0,0,0,0,0
Grunge,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,10,4,0,0,0,0,0,4,4,0,0,0,0,0,0,8,6,2,0,0,0,6,7,6,9,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0
Hard Rock,0,0,3,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,5,6,10,8,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,0,4,6,5,6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Heavy Metal,0,0,2,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,4,5,8,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hip Hop/Rap,0,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,1,0,0,0,5,6,0,0,0,0,0,0,0,0,7,3,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0
House,0,0,0,0,0,0,0,0,0,6,0,0,5,0,7,8,0,3,0,7,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,3,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,2,5,0
Hyper-Pop,0,0,2,0,5,0,0,0,0,8,0,0,0,3,7,8,0,4,0,0,0,0,0,3,0,0,0,0,6,10,3,3,6,0,0,0,6,0,0,0,0,2,8,9,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,4,8,5,1,0,0
Indie Pop,0,0,6,0,9,0,0,0,0,2,0,0,0,8,0,0,0,8,0,2,0,0,5,2,0,0,0,0,0,4,10,8,0,0,0,0,0,0,6,0,0,5,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,7,8,7,0,0,2,0,0
Indie Rock,0,0,7,0,8,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,0,6,0,2,0,0,0,0,0,8,10,0,0,0,6,0,0,4,3,4,0,0,0,2,0,5,7,4,0,0,0,3,0,0,0,0,8,6,0,0,0,0,0,0
Industrial,0,0,3,0,0,6,0,0,0,0,0,7,0,0,0,0,0,4,5,8,0,0,6,7,6,5,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0
Jazz,0,0,0,0,0,0,0,2,7,0,0,0,6,0,0,0,9,0,0,2,0,8,0,0,0,0,0,6,4,0,0,0,0,10,9,7,4,0,0,6,0,0,0,0,0,0,0,2,0,7,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0
Jazz Funk,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,9,3,0,5,0,9,0,0,0,0,0,0,3,0,4,0,0,9,10,8,6,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Jazz Fusion,0,0,0,0,4,0,0,0,7,0,0,0,4,0,0,5,8,6,0,0,0,4,0,0,0,0,0,0,2,3,6,3,0,7,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,0,0,5,8,0
Jungle,0,0,0,0,3,0,0,0,0,6,0,0,3,0,8,7,6,7,0,9,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,10,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,0,1,0,0
Latin,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0
Lo-fi,0,0,1,9,6,0,0,0,0,0,0,0,0,6,0,0,3,3,0,6,0,0,0,0,0,0,0,0,2,0,8,4,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,6,5,0,0,6,0,0
Math Rock,0,0,6,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,6,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,4,5,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0
Midwest Emo,0,0,3,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,5,0,7,4,3,0,0,0,4,6,3,0,0,0,0,0,0,7,10,0,0,0,0,5,0,0,7,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0
New Wave,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,8,3,6,0,0,2,7,6,5,4,0,0,2,5,6,8,0,0,0,0,0,0,0,7,10,0,0,0,0,8,6,6,0,0,0,5,0,0,0,0,0,8,9,0,0,4,0,0
Noise,0,0,0,3,0,5,0,0,0,5,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,0,3,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,10,4,0,7,2,4,0,0,0,0,2,0,0,0,0,0,0,3,6,0,0,0,0
Phonk,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0
Pop,1,5,5,0,7,0,0,0,2,0,2,0,6,7,0,0,0,3,0,0,3,2,0,2,0,0,0,3,0,6,8,4,0,0,0,3,0,3,0,0,0,0,0,0,10,2,0,2,0,4,4,5,0,5,3,3,4,4,7,3,0,0,0,3,4
Post-Punk,0,0,7,0,3,0,0,2,0,0,0,0,4,4,0,0,0,3,4,0,0,4,8,4,5,4,0,0,0,0,6,9,7,0,0,0,0,0,2,3,5,7,0,0,2,10,2,6,6,0,0,0,5,0,3,5,0,6,3,6,0,0,1,0,0
Progressive,0,0,4,3,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,3,4,3,8,9,0,0,0,0,4,6,5,2,5,0,0,0,7,2,0,5,0,0,2,10,5,4,0,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0
Psychedelic,0,4,5,4,6,0,0,2,0,0,0,0,3,7,0,0,0,5,0,3,0,4,8,3,0,2,0,0,2,2,6,8,0,2,4,5,0,0,2,3,0,5,0,0,3,5,3,10,0,2,4,0,5,0,3,3,3,6,6,6,0,2,5,2,0
Punk Rock,0,0,6,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,6,5,7,6,4,0,0,0,0,5,0,0,0,0,0,0,0,2,2,6,0,0,0,6,0,0,10,0,0,0,5,0,8,2,0,5,0,0,0,0,0,0,0
R&B,0,0,0,0,0,0,0,5,3,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,2,0,0,9,0,0,0,0,4,0,3,0
Reggae,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,8,0
Reggaeton,0,4,0,0,0,0,0,0,2,0,0,0,3,0,2,2,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0
Shoegaze,0,0,4,2,5,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,4,5,3,0,0,0,0,0,5,6,0,0,0,0,0,0,0,2,3,3,3,0,2,4,0,5,2,0,0,0,10,0,0,8,0,4,3,0,0,0,0,0,0
Singer-Songwriter,9,0,0,0,5,0,0,3,0,0,4,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,2,10,0,2,3,0,0,0,0,0,0,0,3
Ska,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,4,0,4,4,4,0,0,0,2,2,4,0,0,2,5,0,4,8,0,6,0,0,0,10,0,0,6,0,0,0,0,0,0,0
Slowcore,0,0,5,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,2,0,2,4,4,0,0,0,0,0,3,4,2,0,0,0,0,0,2,3,4,0,5,0,2,0,3,3,0,0,0,0,8,0,0,10,0,2,2,0,0,0,0,0,0
Soul,0,2,0,0,0,0,0,5,0,0,0,0,7,0,0,0,4,0,0,0,0,7,0,0,0,0,0,7,4,0,0,0,0,5,7,5,0,0,0,0,0,0,0,0,4,0,0,4,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,4,5
Surf-Rock,0,0,6,0,7,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,7,0,3,2,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,6,0,0,4,7,0,7,6,0,0,0,0,0,8,0,0,10,6,0,0,0,0,0,0
Synth-Pop,0,0,0,2,8,0,0,0,0,5,0,0,0,7,3,3,6,9,0,3,0,0,0,0,0,0,0,0,6,8,8,6,0,0,0,4,6,0,0,0,0,7,0,3,7,0,0,6,0,0,0,0,0,0,0,2,2,4,10,8,3,0,5,0,0
Synthwave,0,0,0,4,4,0,0,0,0,7,0,0,2,5,5,6,5,8,0,5,0,4,0,0,0,0,0,0,8,6,5,2,2,0,0,2,6,0,3,0,0,5,5,8,5,0,0,5,0,0,0,0,0,0,0,0,0,0,8,10,8,0,8,0,0
Techno,0,0,0,2,0,0,0,0,0,7,0,0,0,2,8,8,2,7,0,6,0,0,0,0,0,0,0,0,8,8,4,0,4,0,0,2,7,0,0,0,0,3,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,0,3,0,0
Trap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Vaporwave,0,0,0,3,2,0,0,0,0,4,0,0,0,4,4,5,4,7,0,7,0,2,0,0,0,0,0,0,3,3,0,0,0,2,0,3,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,0,10,0,0
World Music,2,8,4,1,0,0,2,3,7,0,0,0,0,0,0,0,3,0,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,2,3,5,0,9,0,0,0,0,0,0,0,0,0,0,0,4,8,8,0,2,4,0,3,0,0,0,0,0,0,10,3
Worship,5,1,1,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,6,10
